query	reference	scores
trans-Cyfluthrin_Isomer2	trans-Cyfluthrin_Isomer2	0.20122644305229187
trans-Cyfluthrin_isomer1	trans-Cyfluthrin_isomer1	0.3266168236732483
cis-Permethrin	cis-Permethrin	0.5292323231697083
trans-Permethrin	trans-Permethrin	0.5120734572410583
cis-Phenothrin	cis-Phenothrin	0.5225452780723572
trans-Phenothrin	trans-Phenothrin	0.42491307854652405
cis-Prallethrin	cis-Prallethrin	0.5683764219284058
cis-Allethrin	cis-Allethrin	0.5591595768928528
lambda-Cyhalothrin	lambda-Cyhalothrin	0.32041865587234497
2,3-Benzofluorene	2,3-Benzofluorene	0.4959474802017212
Hydroxyfluoren-9-one	Hydroxyfluoren-9-one	0.5762567520141602
Celestolide	Celestolide	0.5802217721939087
Traseolide	Traseolide	0.2820439040660858
Phantolide	Phantolide	0.520562469959259
Phosmet	Phosmet	0.449055939912796
Rotenone	Rotenone	0.3577454686164856
trans-Tetramethrin	trans-Tetramethrin	0.5595564246177673
cis-Tetramethrin	cis-Tetramethrin	0.4233774244785309
1,5-Dimethylnaphthalene	1,5-Dimethylnaphthalene	0.7011306881904602
Carbaryl	Carbaryl	0.47630929946899414
1-Fluronaphthalene	1-Fluronaphthalene	0.6831853985786438
Acenaphthene	Acenaphthene	0.6898205280303955
1,4-Naphthoquinone	1,4-Naphthoquinone	0.5456360578536987
Fluoranthene	Fluoranthene	0.6923235058784485
Benzo(k)fluoranthene	Benzo(k)fluoranthene	0.6241670250892639
2,6-Dimethylnaphthalene	2,6-Dimethylnaphthalene	0.7080091834068298
2-Methylnaphthalene	2-Methylnaphthalene	0.6470973491668701
1,2-Dimethylnaphthalene	1,2-Dimethylnaphthalene	0.6476091146469116
1-Methylnaphthalene	1-Methylnaphthalene	0.6740615367889404
1-Nitronaphthalene	1-Nitronaphthalene	0.6484986543655396
1,3-Dimethylnaphthalene	1,3-Dimethylnaphthalene	0.52504962682724
1,8-Dimethylnaphthalene	1,8-Dimethylnaphthalene	0.7196264266967773
Benzo[b]naphtho[2,1-d]thiophene	Benzo[b]naphtho[2,1-d]thiophene	0.5664892196655273
1,4-Dimethylnaphthalene	1,4-Dimethylnaphthalene	0.63262939453125
Cycluron	Cycluron	0.2550278306007385
Methomyl	Methomyl	0.31524479389190674
Dimethoate	Dimethoate	0.41556456685066223
Terbufos	Terbufos	0.2987065613269806
Endosulfan	Endosulfan	0.30792587995529175
