Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
58,2-Methyl-2-vinyloxirane,FVCDMHWSPLRYAB-UHFFFAOYSA-N  ,FVCDMHWSPLRYAB,14,84.06,262,262,NA,NA,1026,1,0.071428571,0.701631089,,high,394.0273692,0.272694917
60,"2-Methyl-3,4-epoxy-1-butene",JZQHTTYHPIAPCZ-UHFFFAOYSA-N ,JZQHTTYHPIAPCZ,14,84.06,401,407,NA,NA,1082,1,0.071428571,0.701631089,,high,679.6585629,0.416567822
67,"4H-Cyclopenta[3,4]cyclobuta[1,2-b]furan-4-one, 3a,3b,5,6,6a,6b-hexahydro-",SLQIRJLLGUWLOC-UHFFFAOYSA-N ,SLQIRJLLGUWLOC,21,150.07,562,568,0.42,29,4472,1,0.05,2.097019212,,high,887.2904391,0.58941676
69,"2(5H)-Oxepinone, 6,7-dihydro-",QKRUPRBAQFNCCY-UHFFFAOYSA-N  ,QKRUPRBAQFNCCY,16,112.05,227,347,NA,NA,1562,1,0.090909091,3.73418789,,high,796.6531772,0.416474492
74,1-Methoxy-1-buten-3-yne,VTWTUVLDYHBQTC-SNAWJCMRSA-N ,VTWTUVLDYHBQTC,12,82.04,NA,NA,NA,NA,1011,1,0.038461538,2.395890944,,high,792.4242634,0.461629565
81,"1,2-Cyclobutanedicarboxylic acid, 3-methyl-, dimethyl ester",LQPITCKFNIFQEH-UHFFFAOYSA-N  ,LQPITCKFNIFQEH,27,186.09,370,444,NA,NA,6536,1,0.052631579,0.890503456,,high,453.1953951,0.431646594
82,Spirohexan-5-one,MKWQOXREXMKNOA-UHFFFAOYSA-N ,MKWQOXREXMKNOA,15,96.06,477,477,NA,NA,1301,1,0.03030303,2.695054581,,high,593.6063517,0.639576547
84,cis-Aconitic anhydride,GVJRTUUUJYMTNQ-UHFFFAOYSA-N ,GVJRTUUUJYMTNQ,15,156.01,370,370,NA,NA,3691,1,0.083333333,0.548772018,,high,809.6535893,0.216649799
97,Isobutylene epoxide,GELKGHVAFRCJNA-UHFFFAOYSA-N   ,GELKGHVAFRCJNA,13,72.06,380,380,0,73,2380,1,0.055555556,1.240914453,,high,625.0518066,0.541411468
98,"1,6-Anhydro-2,4-dideoxy-β-D-arabo-hexopyranose",GXABMYNLRYTXGK-UHFFFAOYSA-N ,GXABMYNLRYTXGK,19,130.06,NA,NA,NA,NA,2736,1,0.04,1.555324538,,high,575.0631992,0.332136413
